md5key,shnid,label,filename
-98772,10022,st5,gd1979-11-24-st5.md5
-1,137862,ffp,gd1990-07-18_manual.ffp
1,1,shn-md5,mmw1993-09-18-shn.md5
2,1,shn-st5,mmw1993-09-18-shn-st5.md5
3,2,d1,mmw1994-05-28-d1.md5
4,3,shn-md5,mmw1995-10-14-shn.md5
5,3,shn-st5,mmw1995-10-14-shn-st5.md5
6,4,d1,mmw1995-10-22-d1.md5
7,4,d2,mmw1995-10-22-d2.md5
8,4,d3,mmw1995-10-22-d3.md5
9,6,d1shn-md5,mmw1996-03-21-d1shn.md5
10,6,d2shn-md5,mmw1996-03-21-d2shn.md5
11,7,shn-md5,mmw1996-04-04-shn.md5
12,7,shn-st5,mmw1996-04-04-shn-st5.md5
13,9,d1,mmw1996-04-18-d1.md5
14,9,d2,mmw1996-04-18-d2.md5
15,9,d3,mmw1996-04-18-d3.md5
58,38,orig-shn-md5,gd1966-03-25-orig-shn.md5
60,40,orig-shn-md5,gd1966-07-03-orig-shn.md5
61,41,shn-md5,gd1966-11-19-shn.md5
62,42,shn-md5,gd1967-06-18-shn.md5
63,43,shn-md5,gd1967-09-03-shn.md5
66,47,shn-md5,gd1968-01-20-shn.md5
67,52,shn-md5,gd1968-08-23-shn.md5
75,58,shn-md5,gd1969-02-27-shn.md5
80,60,shn-md5,gd1969-03-01-shn.md5
87,65,shn-md5,gd1969-04-05-shn.md5
95,68,shn-md5,gd1969-04-22-shn.md5
101,71,shn-md5,gd1969-04-26-shn.md5
104,73,shn-md5,gd1969-05-03-shn.md5
105,74,shn-md5,gd1969-05-23-shn.md5
106,76,shn-md5,gd1969-05-31-shn.md5
108,78,shn-md5,gd1969-06-27-shn.md5
110,79,shn-md5,gd1969-09-29-shn.md5
111,80,shn-md5,gd1969-09-30-shn.md5
112,81,shn-md5,gd1969-10-25-shn.md5
113,82,orig-shn-md5,gd1969-11-08-orig-shn.md5
115,82,orig-v2-shn-md5,gd1969-11-08-orig-v2-shn.md5
117,82,shn-md5,gd1969-11-08-shn.md5
125,86,shn-md5,gd1970-01-02-shn.md5
128,89,shn-md5,Grateful-Dead-Compilations1970-02-shn.md5
129,90,orig-shn-md5,gd1970-02-11-orig-shn.md5
131,91,shn-md5,gd1970-03-01-shn.md5
134,94,shn-md5,gd1970-05-06-shn.md5
141,97,shn-md5,gd1970-05-15-shn.md5
142,98,shn-md5,gd1970-06-07-shn.md5
146,100,shn-md5,gd1970-09-18-shn.md5
148,102,shn-md5,gd1970-09-19-shn.md5
149,103,orig-shn-md5,gd1970-10-24-orig-shn.md5
152,107,shn-md5,gd1971-02-18-shn.md5
155,107,orig-shn-abgda,gd1971-02-18-orig-shn-abgda.md5
156,107,orig-shn-abgdb,gd1971-02-18-orig-shn-abgdb.md5
163,111,shn-md5,gd1971-02-20-shn.md5
167,113,shn-md5,gd1971-02-23-shn.md5
168,114,shn-md5,gd1971-02-24-shn.md5
173,117,shn-md5,gd1971-04-05-shn.md5
176,118,shn-md5,gd1971-04-06-shn.md5
177,119,shn-md5,gd1971-04-07-shn.md5
179,120,shn-md5,gd1971-04-08-shn.md5
180,121,shn-md5,gd1971-04-17-shn.md5
181,122,shn-md5,gd1971-04-17-shn.md5
190,126,shn-md5,gd1971-04-29-shn.md5
195,129,shn-md5,gd1971-08-06-shn.md5
197,131,shn-md5,gd1971-08-15-shn.md5
200,133,shn-md5,gd1971-12-14-shn.md5
203,134,shn-md5,gd1971-12-15-shn.md5
204,135,shn-md5,gd1971-12-31-shn.md5
207,137,shn-md5,gd1972-03-23-shn.md5
209,140,shn-md5,gd1972-04-14-shn.md5
212,142,orig-md5,gd1972-05-03-orig.md5
213,142,shn-md5,gd1972-05-03-shn.md5
216,143,shn-md5,gd1972-05-04-shn.md5
225,146,shn-md5,gd1972-05-18-shn.md5
226,147,shn-md5,gd1972-05-25-shn.md5
235,150,shn-md5,gd1972-08-21-shn.md5
238,151,shn-md5,gd1972-08-24-shn.md5
241,152,shn-md5,gd1972-08-27-shn.md5
245,154,shn-md5,gd1972-09-17-shn.md5
252,156,orig-shn-md5,gd1972-09-26-orig-shn.md5
255,157,shn-md5,gd1972-09-28-shn.md5
256,158,shn-md5,gd1972-10-02-shn.md5
257,159,shn-md5,gd1972-10-24-shn.md5
267,165,orig-shn-md5,gd1973-02-21-orig-shn.md5
271,166,orig-shn-md5,gd1973-02-22-orig-shn.md5
275,167,shn-md5,gd1973-03-16-shn.md5
279,169,shn-md5,gd1973-04-02-shn.md5
282,170,shn-md5,gd1973-04-02-shn.md5
286,172,shn-md5,gd1973-06-09-shn.md5
290,174,shn-md5,gd1973-06-10-shn.md5
294,176,shn-md5,gd1973-06-24-shn.md5
295,177,shn-md5,gd1973-06-30-shn.md5
298,178,shn-md5,gd1973-07-01-shn.md5
300,180,shn-md5,gd1973-07-27-shn.md5
302,181,shn-md5,gd1973-07-28-shn.md5
306,182,shn-md5,gd1973-08-01-shn.md5
