id,year,date,band,venue,location,orig_date,setlist,comments
2416,1966,1966-00-00,Grateful Dead,Studio Rehearsal,"Unknown , Unknown",??/??/66,Who Do You Love?,This is often listed as 3/6/66 or March '66. The actual date is  unknown.
2417,1966,1966-00-00,Grateful Dead,Unknown Venue,"Unknown , Unknown",??/??/66,Good Morning Little Schoolgirl [8:02] > You Don't Love Me [5:54] >  Good Morning Little Schoolgirl [6:46#],"Circulates as 02/12/66, but is unknown.  Jeff Tiedrich:  a mutual friend asked Dick Latvala if he could shed any additional light  on the above material and Dick answered that this was from a 7"" reel that  came out of a box that was only labeled ""Longshoreman's."" No date or any  other information.  Transcribed by Teddy GoodBear from 'The taping Compendium':  According to Vault archivist Dick Latvala, the material here comes from  two different seven-inch reel boxes, the Pigpen rap in an unlabeled one,  the other marked ""Longshoreman's #1,"" with no other information. The  intriguing thing is that both tapes have identical ambiences, and Bobby's  comment has the same ambience and feel as the segment with Pigpen's rap.  Owsley ""Bear"" Stanley:  the box labeled ""Longshoreman's"" would have been the shows we did with  Loading Zone in late April 66, after the return to SF from LA."
2418,1966,1966-00-00,Grateful Dead,Studio Rehearsal,"Unknown , Unknown",??/??/66,Viola Lee Blues ; Cardboard Cowboy,"Multiple versions of Viola Lee Blues with Pigpen and Weir trying  lead vocals. Also Cardboard Cowboy. Probably from January or February '66.  Dick Latvala - According to DeadLists Digests #534:  ftp://gdead.berkeley.edu/pub/gdead/set-lists/DEADLIST_PROJECT/digest-archive/v01.n534  , when reading comments of 07/03/66:   Dick Latvala has crossed out ""it's a good thing"" and written ""MESS UP a  GOOD tHING CARDBOARD COWBOY"". Is this the real name of the song we call  ""Cardboard Cowboy""? Or did Dick forget to put a comma after 'Mess Up a  Good thing' and the next song would be 'Carboard Cowboy'? SEE (7/3/66).  Owsley ""Bear"" Stanley:  I do not recall there ever being any song called ""Cardboard Cowboy"". I  cannot imagine what song the reference is to."
2419,1966,1966-00-00,Grateful Dead,Scorpio studio outtakes(?),"Unknown , Unknown",??/??/66,Lindy ; Alice D. Millionaire,
2420,1966,1966-00-00,Grateful Dead,Unknown Venue,"Unknown , Unknown",??/??/66,Smokestack Lightning ; Caution (Do Not Stop On Tracks) ; The Same  Thing,"DeadBase III called this ""Avalon 9/17/66"". It was removed from  subsequent editions. Other sources list this as: Late 1966 or early 1967.  Owsley ""Bear"" Stanley:  '66 is too early for Smokestack Lightning."
2421,1966,1966-00-00,Grateful Dead,Unknown Venue,"Unknown , Unknown",??/??/66,Stealin' ; Same Thing,"From the Vintage and Historic Dead LPs. Found on ""9/16/66"" tapes  recorded off vinyl. See ""9/11/66"" also. Venue: Avalon (?) or Fillmore(?)."
2422,1966,1966-00-00,Grateful Dead,Unknown Venue,"Unknown , Unknown",??/??/66,Me And My Uncle (1),"(1) David Sorochty:  Me and My Uncle is often found as filler on circulating cassettes, of  12/1/66, *twice* after Alice D. Millionaire. They begin Me and My Uncle  and play it for a minute or two and then it gets all messed up and they  come to a stop. They screwed it up and Jerry explains ""We can't agree  where this is gonna go"" or something close to that. After some confusion  they begin Me and My Uncle again and this time they play it to completion.  Neither the false start rendition or the one which comes to a finish are  duplication of the set 3 Me and My Uncle which is part of the 12/1/66  show. In addition, this little clip is not duplication of any other  currently (1998) circualting 1966 or early 1967 show. Its source and exact  date of origin remains unknown."
2423,1966,1966-01-07,Grateful Dead,The Matrix,"San Francisco , CA",1/7/1966,,"According to DeadBase X the following were played:  Mindbender, on the Road Again, She Belongs to Me, I'll Go Crazy, Can't  Come Down, Death Don't Have No Mercy, Parchman Farm, Midnight Hour, the  only time Is Now, Early Morning Rain, It's All Over Now Baby Blue. No  confirmation of the above on any recordings can be found.  David Sorochty:  the It's a Sin [2:52] and Sick and tired [3:34] which circulate dated as  ""1/7/66"" are just a partial copy of the ""11/29/66 Set 1"" (AKA 2/23/66)  tape. The actual date of the full tape is unknown. These may really be  ""5/19/66"". See the explanation of this on the ""2/23/66""setlist.  The fact that DeadBase has a list for 1/7/66 which includes those two  songs (in that order) is probably the reason for all the confusion in the  first place. The 1/7/66 list has been in there since the first edition or  two, but I don't know where they got it from.  Teddy GoodBear:  (See 1/15/66 - ""Portland Acid test"" for more of Bear's comments). His  comments were made off the top of his head & therefore may not be  accurate.  Owsley ""Bear"" Stanley:  there were only two Matrix shows, one in Dec '65, and the one before the  Fillmore AT. The Matrix was a crummy little closet of a venue with barely  enough room for 50 to 60 people to stand in, the big name bands didn't  play there after they got up and known. The hall couldn't pay more than  $100 for the act. They seldom had two acts/night and so far as I know  never three. The Dead played there twice when they were unknown."
2424,1966,1966-01-08,Grateful Dead,Fillmore Auditorium,"San Francisco , CA",1/8/1966,I'm A King Bee ; Hog For You Baby ;  Caution (Do Not Stop On Tracks) > Death Don't Have No Mercy ; The Star-Spangled Banner,"During set commentary: Stage Banter ; More Power Rap ; I'm A King Bee ; Hog For You Baby ;  Caution (Do Not Stop On Tracks) > Death Don't Have No Mercy ; Final  Remarks ; Star-Spangled Banner ; More Final Remarks Fillmore Acid test. This is a tape of the audio off of Ken  Keasy's Acid test video. It could be from a different date and several  shows.  Transcribed by Teddy GoodBear:  Up at the Fillmore Auditorium, Ken Kesey's Acid test event was in action  when I got there around the middle of the evening. The people were like  the backstage crowd at the California Hall dance (that the Airplane played  the same night). The costumes were, wow! a strobe light was flickering at  a very high frequency in one corner of the hall and a group of people were  bouncing a golden balloon up and down in it. It was a most perturbing  frequency.  in one corner there was a piece of metal, tubular sculpture by Ron Boise,  a thumping machine. If you hit it, you got different sounds if you hit it  in different places. There was a lot of electronic equipment which sent  out a low reverberation that resonated throughout the hall. and the whole  place was filled with streamers and balloons. There were tV cameras and a  tV screen, and you could see yourself in it. Onstage there was a rock  group; anybody could play with them. It was a kind of social Jam session.  a guy in a white mechanic's suit with a black cross on the front, and on  the back a sign saying 'Please Don't Believe in Magic', ran up and down  all night. Oh wow! Periodically the lights went out and everybody cheered.  Giant Frisbees, balloons like basketballs, acrobats, girls in felt  eyelashes four inches long, people with eyes painted on their foreheads,  glasses low on the nose with eyes painted on them, men with foxes on their  shoulders! Wow! -- Michael Rossman (S.F. Chronicle, 1/66)  http://www.pompano.net/~goodbear/concert_art/01_08_66.html   to see a Ralph J. Gleason SF Chronicle newspaper article:  http://www.pompano.net/~goodbear/concert_art/01_07_66.html"
2425,1966,1966-01-13,Grateful Dead,The Matrix,"San Francisco , CA",1/13/1966,,"Afternoon show - actual date of list unknown.  Setlist as per DeadBase X: All of My Love ; Hog For You Baby.  Teddy GoodBear:  According to Bear this show at The Matrix did not exist, (see 1/15/66 -  ""Portland Acid test"" for more of Bear's comments). His comments were made  off the top of his head & therefore may not be accurate.  Owsley ""Bear"" Stanley:  there were only two Matrix shows, one in Dec '65, and the one before the  Fillmore AT. The Matrix was a crummy little closet of a venue with barely  enough room for 50 to 60 people to stand in, the big name bands didn't  play there after they got up and known. The hall couldn't pay more than  $100 for the act. They seldom had two acts/night and so far as I know  never three. The Dead played there twice when they were unknown."
